Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0004915	interleukin-6 receptor activity	 	1.179E-5	4.880E-3	2.440E-3	1.611E-2	2	2	IL6R,IL6ST
GO: Molecular Function	GO:0019981	interleukin-6 binding	 	1.179E-5	4.880E-3	2.440E-3	1.611E-2	2	2	IL6R,IL6ST
GO: Molecular Function	GO:0051766	inositol trisphosphate kinase activity	 	3.092E-5	1.280E-2	4.268E-3	2.818E-2	3	18	NOL9,ITPK1,ITPKB
GO: Molecular Function	GO:0004897	ciliary neurotrophic factor receptor activity	 	7.017E-5	2.905E-2	7.262E-3	4.796E-2	2	4	IL6R,IL6ST
GO: Molecular Function	GO:0005138	interleukin-6 receptor binding	 	2.439E-4	1.010E-1	2.020E-2	1.334E-1	2	7	IL6R,IL6ST
GO: Molecular Function	GO:0052835	inositol-3,4,6-trisphosphate 1-kinase activity	 	3.245E-4	1.344E-1	2.239E-2	1.479E-1	2	8	NOL9,ITPK1
GO: Molecular Function	GO:0051765	inositol tetrakisphosphate kinase activity	 	4.163E-4	1.724E-1	2.389E-2	1.577E-1	2	9	NOL9,ITPK1
GO: Molecular Function	GO:0051731	polynucleotide 5'-hydroxyl-kinase activity	 	5.193E-4	2.150E-1	2.389E-2	1.577E-1	2	10	N4BP2,NOL9
GO: Molecular Function	GO:0051734	ATP-dependent polynucleotide kinase activity	 	5.193E-4	2.150E-1	2.389E-2	1.577E-1	2	10	N4BP2,NOL9
GO: Molecular Function	GO:0001223	transcription coactivator binding	 	8.940E-4	3.701E-1	3.701E-2	2.444E-1	2	13	NFATC1,RORA
GO: Molecular Function	GO:0046914	transition metal ion binding	 	1.196E-3	4.952E-1	4.502E-2	2.973E-1	13	1450	LIMK1,ZCCHC11,TRIM2,DCP2,ZDHHC7,RORA,TRIM39,RERE,FHIT,SKI,SF1,GFI1,SOD1
GO: Biological Process	GO:0070102	interleukin-6-mediated signaling pathway	 	4.230E-8	9.132E-5	9.132E-5	7.539E-4	4	11	ZCCHC11,GFI1,IL6R,IL6ST
GO: Biological Process	GO:0002682	regulation of immune system process	 	9.836E-8	2.124E-4	1.062E-4	8.765E-4	20	1514	LIMK1,ATP6V1H,NFATC1,ATG7,CD226,MAD1L1,CD40LG,CD47,RORA,TSPAN32,PUM1,FLOT1,ZBTB7B,GFI1,IL6R,IL6ST,CNR2,INPP4B,SOD1,ITPKB
GO: Biological Process	GO:0002694	regulation of leukocyte activation	 	1.361E-6	2.939E-3	9.798E-4	8.088E-3	11	514	CD226,MAD1L1,CD40LG,CD47,RORA,TSPAN32,ZBTB7B,IL6ST,CNR2,SOD1,ITPKB
GO: Biological Process	GO:0071354	cellular response to interleukin-6	 	2.511E-6	5.421E-3	1.214E-3	1.002E-2	4	28	ZCCHC11,GFI1,IL6R,IL6ST
GO: Biological Process	GO:0050865	regulation of cell activation	 	2.811E-6	6.069E-3	1.214E-3	1.002E-2	11	554	CD226,MAD1L1,CD40LG,CD47,RORA,TSPAN32,ZBTB7B,IL6ST,CNR2,SOD1,ITPKB
GO: Biological Process	GO:0070741	response to interleukin-6	 	4.364E-6	9.423E-3	1.570E-3	1.296E-2	4	32	ZCCHC11,GFI1,IL6R,IL6ST
